split,group_id,new_filename,source_split,original_filename,source_path,Burn Mark,Flash,Short Shot,Sink Mark
valid,0,fp_valid_0001.jpg,train,samsung_50_jpg.rf.59b262a3e3ad01646ca23878100964a5.jpg,new_dataset\Final Project.v1i.coco\train\samsung_50_jpg.rf.59b262a3e3ad01646ca23878100964a5.jpg,1,1,0,1
train,1,fp_train_0001.jpg,train,2_37_jpg.rf.a21f0d5ce706eae68e0b78e034b8f7d8.jpg,new_dataset\Final Project.v1i.coco\train\2_37_jpg.rf.a21f0d5ce706eae68e0b78e034b8f7d8.jpg,0,0,0,0
train,1,fp_train_0002.jpg,train,2_54_jpg.rf.67c9ef8ae081c879f08fe159a0e18505.jpg,new_dataset\Final Project.v1i.coco\train\2_54_jpg.rf.67c9ef8ae081c879f08fe159a0e18505.jpg,0,1,0,0
train,1,fp_train_0003.jpg,train,2_38_jpg.rf.ff12c691bdea4e3434bc2c48a09d9ff6.jpg,new_dataset\Final Project.v1i.coco\train\2_38_jpg.rf.ff12c691bdea4e3434bc2c48a09d9ff6.jpg,0,1,0,0
train,1,fp_train_0004.jpg,train,2_52_jpg.rf.0404e62642591a20e5b2ef75df56a924.jpg,new_dataset\Final Project.v1i.coco\train\2_52_jpg.rf.0404e62642591a20e5b2ef75df56a924.jpg,0,0,0,0
train,1,fp_train_0005.jpg,train,2_40_jpg.rf.62b2114c1c2ac3d936388ab913bdc3ed.jpg,new_dataset\Final Project.v1i.coco\train\2_40_jpg.rf.62b2114c1c2ac3d936388ab913bdc3ed.jpg,0,1,0,0
train,1,fp_train_0006.jpg,train,2_42_jpg.rf.e211f827b6c6490942167431dab7743f.jpg,new_dataset\Final Project.v1i.coco\train\2_42_jpg.rf.e211f827b6c6490942167431dab7743f.jpg,0,0,0,0
train,1,fp_train_0007.jpg,train,2_53_jpg.rf.d4afe2693c60d3f7da88b5932b5204e7.jpg,new_dataset\Final Project.v1i.coco\train\2_53_jpg.rf.d4afe2693c60d3f7da88b5932b5204e7.jpg,0,1,1,0
train,1,fp_train_0008.jpg,valid,2_41_jpg.rf.557fde594a4478bb8f13c2d8a1e1b356.jpg,new_dataset\Final Project.v1i.coco\valid\2_41_jpg.rf.557fde594a4478bb8f13c2d8a1e1b356.jpg,0,1,0,0
train,1,fp_train_0009.jpg,valid,2_39_jpg.rf.dfca690c30390d59e45e6966c3938e94.jpg,new_dataset\Final Project.v1i.coco\valid\2_39_jpg.rf.dfca690c30390d59e45e6966c3938e94.jpg,0,0,0,0
train,2,fp_train_0010.jpg,train,N_1025_JPG_JPG.rf.455e2621b65835297ddc4175210c612a.jpg,new_dataset\Final Project.v1i.coco\train\N_1025_JPG_JPG.rf.455e2621b65835297ddc4175210c612a.jpg,1,0,0,1
train,3,fp_train_0011.jpg,train,N_1018_JPG_JPG.rf.f3e69195fe20812d09ea2575aaa46ded.jpg,new_dataset\Final Project.v1i.coco\train\N_1018_JPG_JPG.rf.f3e69195fe20812d09ea2575aaa46ded.jpg,1,0,0,1
train,4,fp_train_0012.jpg,train,N_1072_JPG_JPG.rf.be52ac578cd25d7d911df544779b87db.jpg,new_dataset\Final Project.v1i.coco\train\N_1072_JPG_JPG.rf.be52ac578cd25d7d911df544779b87db.jpg,0,0,0,0
train,5,fp_train_0013.jpg,train,P_2015_jpg.rf.c4e878080f56e5987d8880053c6b1294.jpg,new_dataset\Final Project.v1i.coco\train\P_2015_jpg.rf.c4e878080f56e5987d8880053c6b1294.jpg,1,0,0,0
train,6,fp_train_0014.jpg,train,2_124_jpg.rf.2833109df07e45fdbd69a4e8d8367253.jpg,new_dataset\Final Project.v1i.coco\train\2_124_jpg.rf.2833109df07e45fdbd69a4e8d8367253.jpg,0,1,0,0
train,7,fp_train_0015.jpg,train,samsung_38_jpg.rf.7a1f790127a2c4ad66e7496269680075.jpg,new_dataset\Final Project.v1i.coco\train\samsung_38_jpg.rf.7a1f790127a2c4ad66e7496269680075.jpg,1,0,0,0
valid,8,fp_valid_0002.jpg,train,P_2076_jpg.rf.d24040b3998602e1a9d76df422d95e08.jpg,new_dataset\Final Project.v1i.coco\train\P_2076_jpg.rf.d24040b3998602e1a9d76df422d95e08.jpg,1,0,0,1
test,9,fp_test_0001.jpg,train,samsung_44_jpg.rf.ed57cc1707255c9d8c06c6d36004631f.jpg,new_dataset\Final Project.v1i.coco\train\samsung_44_jpg.rf.ed57cc1707255c9d8c06c6d36004631f.jpg,0,1,0,1
valid,10,fp_valid_0003.jpg,train,samsung_77_jpg.rf.8ba9f34d1fcf7d9d9d136e545ee2eea3.jpg,new_dataset\Final Project.v1i.coco\train\samsung_77_jpg.rf.8ba9f34d1fcf7d9d9d136e545ee2eea3.jpg,0,0,0,1
train,11,fp_train_0016.jpg,train,42_jpg.rf.f092090bdee6a796a9c590c8500a7e28.jpg,new_dataset\Final Project.v1i.coco\train\42_jpg.rf.f092090bdee6a796a9c590c8500a7e28.jpg,0,0,1,0
train,11,fp_train_0017.jpg,train,39_jpg.rf.3dfb2f96cc10a653ee45364aa0b6f138.jpg,new_dataset\Final Project.v1i.coco\train\39_jpg.rf.3dfb2f96cc10a653ee45364aa0b6f138.jpg,0,1,0,0
train,12,fp_train_0018.jpg,train,2_26_jpg.rf.a66d20c60f35cc7e3ea966089c472705.jpg,new_dataset\Final Project.v1i.coco\train\2_26_jpg.rf.a66d20c60f35cc7e3ea966089c472705.jpg,1,1,1,0
test,13,fp_test_0002.jpg,train,155_jpg.rf.b2299b071e226231d435db48ac8bbea0.jpg,new_dataset\Final Project.v1i.coco\train\155_jpg.rf.b2299b071e226231d435db48ac8bbea0.jpg,0,0,1,0
test,13,fp_test_0003.jpg,train,142_jpg.rf.d0392548bb1be0395db7e77c295c1442.jpg,new_dataset\Final Project.v1i.coco\train\142_jpg.rf.d0392548bb1be0395db7e77c295c1442.jpg,0,1,0,0
test,13,fp_test_0004.jpg,train,175_jpg.rf.eefa2865b7623dfe965c771d4f3bac2c.jpg,new_dataset\Final Project.v1i.coco\train\175_jpg.rf.eefa2865b7623dfe965c771d4f3bac2c.jpg,0,0,0,0
test,13,fp_test_0005.jpg,train,145_jpg.rf.d29516f996815941e1483eec254a2ee8.jpg,new_dataset\Final Project.v1i.coco\train\145_jpg.rf.d29516f996815941e1483eec254a2ee8.jpg,0,0,0,0
valid,14,fp_valid_0004.jpg,train,2_175_jpg.rf.1dca50964ea9bc238b62dfbb7c226b88.jpg,new_dataset\Final Project.v1i.coco\train\2_175_jpg.rf.1dca50964ea9bc238b62dfbb7c226b88.jpg,0,0,0,0
train,15,fp_train_0019.jpg,train,P_2159_jpg.rf.ad283aab34b2af5d27e3a4337d6583bc.jpg,new_dataset\Final Project.v1i.coco\train\P_2159_jpg.rf.ad283aab34b2af5d27e3a4337d6583bc.jpg,0,0,0,1
train,16,fp_train_0020.jpg,train,2_99_jpg.rf.58c2bdfe3aeb5f2411ff87813d62a882.jpg,new_dataset\Final Project.v1i.coco\train\2_99_jpg.rf.58c2bdfe3aeb5f2411ff87813d62a882.jpg,0,1,0,0
train,16,fp_train_0021.jpg,train,2_100_jpg.rf.1753769a59715acdfc394f2c2b6b151f.jpg,new_dataset\Final Project.v1i.coco\train\2_100_jpg.rf.1753769a59715acdfc394f2c2b6b151f.jpg,0,1,0,0
train,16,fp_train_0022.jpg,train,2_97_jpg.rf.9195adcd2354ddc5b410939bdf103bfa.jpg,new_dataset\Final Project.v1i.coco\train\2_97_jpg.rf.9195adcd2354ddc5b410939bdf103bfa.jpg,0,1,0,0
train,17,fp_train_0023.jpg,train,97_jpg.rf.e5f7d3a6b4143e6992c3eadc6e0ea0b1.jpg,new_dataset\Final Project.v1i.coco\train\97_jpg.rf.e5f7d3a6b4143e6992c3eadc6e0ea0b1.jpg,0,0,1,0
train,17,fp_train_0024.jpg,train,112_jpg.rf.98db77ce8c42a626511cb32d57d4262f.jpg,new_dataset\Final Project.v1i.coco\train\112_jpg.rf.98db77ce8c42a626511cb32d57d4262f.jpg,0,0,0,0
train,17,fp_train_0025.jpg,train,100_jpg.rf.f85ba611e035a1511685cad61a676582.jpg,new_dataset\Final Project.v1i.coco\train\100_jpg.rf.f85ba611e035a1511685cad61a676582.jpg,0,0,0,0
train,17,fp_train_0026.jpg,train,118_jpg.rf.2732dab9332a7ccc7fbd3fa3e02343ae.jpg,new_dataset\Final Project.v1i.coco\train\118_jpg.rf.2732dab9332a7ccc7fbd3fa3e02343ae.jpg,0,1,0,0
train,17,fp_train_0027.jpg,train,98_jpg.rf.eb3e1d3ef0c7a4d0d7527fbc9f838277.jpg,new_dataset\Final Project.v1i.coco\train\98_jpg.rf.eb3e1d3ef0c7a4d0d7527fbc9f838277.jpg,0,0,0,0
train,17,fp_train_0028.jpg,train,111_jpg.rf.5638e40a8a8b9443d3e8efce260cffd4.jpg,new_dataset\Final Project.v1i.coco\train\111_jpg.rf.5638e40a8a8b9443d3e8efce260cffd4.jpg,0,0,0,0
