type,old_split,new_split,phash_distance,dhash_distance,orientation,old_image,new_image
EXACT,test,train,0,0,identical,data\raw\test\102_jpg.rf.df63759df411ac6b27fd5e90f4088322.jpg,new_dataset\Final Project.v1i.coco\train\102_jpg.rf.217783a56fb10734221217e0f77fd5b7.jpg
EXACT,test,train,0,0,identical,data\raw\test\121_jpg.rf.a3172b0ef1d6b59c17930cbe34dd74ca.jpg,new_dataset\Final Project.v1i.coco\train\121_jpg.rf.528aade3df382935d01f9bd755a5fca3.jpg
EXACT,test,train,0,0,identical,data\raw\test\129_jpg.rf.82304ec5dbc52427dab845ac54644c59.jpg,new_dataset\Final Project.v1i.coco\train\129_jpg.rf.c550f868604e922caad4a834ef28b804.jpg
EXACT,test,train,0,0,identical,data\raw\test\130_jpg.rf.59fceb185bcc4dcea2e21ce0a05ed892.jpg,new_dataset\Final Project.v1i.coco\train\130_jpg.rf.5a355144b4a3d897f31c27c785848b37.jpg
EXACT,test,train,0,0,identical,data\raw\test\146_jpg.rf.a1ae8e37a19c68a7c22a97821cdaed48.jpg,new_dataset\Final Project.v1i.coco\train\146_jpg.rf.e67ab433d3b3a24d743284a02ae04b2f.jpg
EXACT,test,valid,0,0,identical,data\raw\test\148_jpg.rf.a7fb1674f7cd28c44b07c2fff19c94d9.jpg,new_dataset\Final Project.v1i.coco\valid\148_jpg.rf.8d639554abf6e309c86add2a787dbcdd.jpg
EXACT,test,train,0,0,identical,data\raw\test\14_jpg.rf.3bb6cfee4166181b716b369d0d02abc4.jpg,new_dataset\Final Project.v1i.coco\train\14_jpg.rf.1587ebb9dca296d864c145eded74a556.jpg
EXACT,test,valid,0,0,identical,data\raw\test\156_jpg.rf.1cc09cfc27ff59bd7205102124320682.jpg,new_dataset\Final Project.v1i.coco\valid\156_jpg.rf.f87f16dbbffc5056293128f0a6db7d6a.jpg
EXACT,test,test,0,0,identical,data\raw\test\162_jpg.rf.6fbad38ae6aa3f20b6e8160bb0f073ac.jpg,new_dataset\Final Project.v1i.coco\test\162_jpg.rf.8ecf91e179a65aafddc0a30b0bd7096d.jpg
EXACT,test,train,0,0,identical,data\raw\test\183_jpg.rf.6bd6d35165738b1aa3582d21d4e4dfb9.jpg,new_dataset\Final Project.v1i.coco\train\183_jpg.rf.dd5b207437f59601000970e005c705fc.jpg
