new_filename,status,match_type,old_image,phash_distance,dhash_distance,cosine_similarity,orientation
fp_test_0001.jpg,kept,,,,,,
fp_test_0002.jpg,excluded,strong_near_duplicate,data\raw\train\142_jpg.rf.8ef75292f0df0c84541784d54950dd36.jpg,4,1,0.9924920797348022,normal
fp_test_0003.jpg,excluded,exact,data\raw\train\142_jpg.rf.8ef75292f0df0c84541784d54950dd36.jpg,0,0,1.0,identical
fp_test_0004.jpg,excluded,strong_near_duplicate,data\raw\train\142_jpg.rf.8ef75292f0df0c84541784d54950dd36.jpg,2,0,0.9950674176216125,normal
fp_test_0005.jpg,excluded,strong_near_duplicate,data\raw\train\142_jpg.rf.8ef75292f0df0c84541784d54950dd36.jpg,4,4,0.988659143447876,normal
fp_test_0006.jpg,excluded,strong_near_duplicate,data\raw\test\2_108_jpg.rf.59b4fbd329dfa98c5eb266726878796d.jpg,2,3,0.9908671379089355,normal
fp_test_0007.jpg,excluded,strong_near_duplicate,data\raw\train\2_105_jpg.rf.8a362f894fc14df36a3bcf4055698f80.jpg,0,1,0.9890143871307373,normal
fp_test_0008.jpg,excluded,exact,data\raw\test\2_108_jpg.rf.59b4fbd329dfa98c5eb266726878796d.jpg,0,0,1.0,identical
fp_test_0009.jpg,excluded,strong_near_duplicate,data\raw\train\2_104_jpg.rf.9de0c8de3300ed1a9e2ce790a57b5f5f.jpg,4,2,0.9854649305343628,normal
fp_test_0010.jpg,excluded,strong_near_duplicate,data\raw\test\2_108_jpg.rf.59b4fbd329dfa98c5eb266726878796d.jpg,2,3,0.9850331544876099,normal
fp_test_0011.jpg,excluded,strong_near_duplicate,data\raw\test\2_108_jpg.rf.59b4fbd329dfa98c5eb266726878796d.jpg,0,2,0.9943290948867798,normal
fp_test_0012.jpg,kept,,,,,,
fp_test_0013.jpg,kept,,,,,,
fp_test_0014.jpg,kept,,,,,,
fp_test_0015.jpg,excluded,strong_near_duplicate,data\raw\train\185_jpg.rf.95b87a92a10404d4ba4508e434d5111f.jpg,0,1,0.9993472099304199,normal
fp_test_0016.jpg,excluded,exact,data\raw\test\183_jpg.rf.6bd6d35165738b1aa3582d21d4e4dfb9.jpg,0,0,1.0,identical
fp_test_0017.jpg,excluded,exact,data\raw\train\201_jpg.rf.6a4c54a9f673f125d6a7f12cbb7f6ff5.jpg,0,0,1.0,identical
fp_test_0018.jpg,excluded,strong_near_duplicate,data\raw\train\186_jpg.rf.636f6f85c182c9ca37e767b5df3cb4c3.jpg,2,3,0.9850014448165894,normal
fp_test_0019.jpg,excluded,strong_near_duplicate,data\raw\test\183_jpg.rf.6bd6d35165738b1aa3582d21d4e4dfb9.jpg,2,6,0.9909307360649109,normal
fp_test_0020.jpg,excluded,strong_near_duplicate,data\raw\test\206_jpg.rf.945f50fcc1b02c6f91aee1223d113794.jpg,4,1,0.993034839630127,normal
fp_test_0021.jpg,excluded,strong_near_duplicate,data\raw\test\183_jpg.rf.6bd6d35165738b1aa3582d21d4e4dfb9.jpg,0,3,0.9938008785247803,normal
fp_test_0022.jpg,excluded,exact,data\raw\test\206_jpg.rf.945f50fcc1b02c6f91aee1223d113794.jpg,0,0,1.0,identical
fp_test_0023.jpg,excluded,strong_near_duplicate,data\raw\train\181_jpg.rf.036d356aaecda6a895620f08afc68e37.jpg,2,2,0.9896245002746582,normal
fp_test_0024.jpg,excluded,exact,data\raw\train\186_jpg.rf.636f6f85c182c9ca37e767b5df3cb4c3.jpg,0,0,1.0,identical
fp_test_0025.jpg,excluded,strong_near_duplicate,data\raw\test\183_jpg.rf.6bd6d35165738b1aa3582d21d4e4dfb9.jpg,2,4,0.985846757888794,normal
fp_test_0026.jpg,excluded,strong_near_duplicate,data\raw\train\191_jpg.rf.fc168ac57723916f2bbafc2ac8c3e6a8.jpg,2,5,0.9886449575424194,normal
fp_test_0027.jpg,excluded,strong_near_duplicate,data\raw\train\185_jpg.rf.95b87a92a10404d4ba4508e434d5111f.jpg,2,5,0.9854089617729187,normal
fp_test_0028.jpg,excluded,strong_near_duplicate,data\raw\test\183_jpg.rf.6bd6d35165738b1aa3582d21d4e4dfb9.jpg,2,5,0.9852301478385925,normal
fp_test_0029.jpg,excluded,strong_near_duplicate,data\raw\train\208_jpg.rf.2ddcba965e6449f36d22111d6fac99b6.jpg,4,4,0.9905406832695007,normal
fp_test_0030.jpg,excluded,exact,data\raw\train\199_jpg.rf.c3e7fad1bc10b44f3221fe30e6fd840d.jpg,0,0,1.0,identical
fp_test_0031.jpg,excluded,strong_near_duplicate,data\raw\train\197_jpg.rf.5b72101af0a748ebf7606791da7d0609.jpg,4,4,0.9854098558425903,normal
